"SEAL_ID","SEX","TAG_MATRIX","SURVIVAL_MATRIX","YEAR_BORN","BLACK_MASS","WEAN_MASS","BRANDED","COW_MASS","TAGS_USED","BRANDS_USED","PUP_MATRIX"
14619.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1952",,,"0",," MBOV",,"00000000000000000000000000"
14742.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1953",,,"0",," MCBK",,"00000000000000000000000000"
14899.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDOS",,"00000000000000000000000000"
14908.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDIH",,"00000000000000000000000000"
14912.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDXI",,"00000000000000000000000000"
14928.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDAZ",,"00000000000000000000000000"
14936.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDAL",,"00000000000000000000000000"
14948.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDBP",,"00000000000000000000000000"
15032.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDFX",,"00000000000000000000000000"
15143.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDKC",,"00000000000000000000000000"
15269.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDPJ",,"00000000000000000000000000"
15273.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDPN",,"00000000000000000000000000"
15277.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1954",,,"0",," MDPR",,"00000000000000000000000000"
15674.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFNA",,"00000000000000000000000000"
15730.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFPU",,"00000000000000000000000000"
15785.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFTO",,"00000000000000000000000000"
17552.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMUPL",,"00000000000000000000000000"
17555.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMUTL",,"00000000000000000000000000"
17556.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMUUL",,"00000000000000000000000000"
17558.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000",,,,"0",," MMUXL",,"00000000000000000000000000"
17560.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMWAL",,"00000000000000000000000000"
17561.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMWWL",,"00000000000000000000000000"
17565.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMXXL",,"00000000000000000000000000"
17566.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMAAL",,"00000000000000000000000000"
17618.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMCIR",,"00000000000000000000000000"
17839.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1959",,,"0",," MMNWR",,"00000000000000000000000000"
18038.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1960",,,"0",," MPBB",,"00000000000000000000000000"
18260.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1960",,,"0",," MPVH",,"00000000000000000000000000"
18362.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1961",,,"0",," MSUBL",,"00000000000000000000000000"
18584.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1961",,,"0",," MSNZR",,"00000000000000000000000000"
18665.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTBPL",,"00000000000000000000000000"
18666.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTBSL",,"00000000000000000000000000"
18667.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTBTL",,"00000000000000000000000000"
18669.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTBWL",,"00000000000000000000000000"
18671.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTBYL",,"00000000000000000000000000"
18674.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTDBL",,"00000000000000000000000000"
18676.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTDFL",,"00000000000000000000000000"
18677.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTDGL",,"00000000000000000000000000"
18783.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTKHL",,"00000000000000000000000000"
18839.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MTMZL",,"00000000000000000000000000"
19259.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MZNNR",,"00000000000000000000000000"
19370.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MZWWR",,"00000000000000000000000000"
19426.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1962",,,"0",," MZZMR",,"00000000000000000000000000"
19799.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1963",,,"0",," MUWAL",,"00000000000000000000000000"
19951.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1963",,,"0",," MUFDR",,"00000000000000000000000000"
15794.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUB",,"00000000000000000000000000"
15797.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUF",,"00000000000000000000000000"
15798.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUG",,"00000000000000000000000000"
15799.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUH",,"00000000000000000000000000"
15801.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUK",,"00000000000000000000000000"
15803.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUM",,"00000000000000000000000000"
15805.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUO",,"00000000000000000000000000"
15807.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1955",,,"0",," MFUR",,"00000000000000000000000000"
16044.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJLFL",,"00000000000000000000000000"
16277.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJARL",,"00000000000000000000000000"
16333.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJDIL",,"00000000000000000000000000"
16388.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJHBL",,"00000000000000000000000000"
16435.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJHL",,"00000000000000000000000000"
16437.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJJL",,"00000000000000000000000000"
16438.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJKL",,"00000000000000000000000000"
16440.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJML",,"00000000000000000000000000"
16441.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJNL",,"00000000000000000000000000"
16444.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJTL",,"00000000000000000000000000"
16447.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJJWL",,"00000000000000000000000000"
16562.00,"1","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1957",,,"0",," MJRML",,"00000000000000000000000000"
16862.00,"0","UUUUUUUUUUUUUUUUUUUUUUUUUU","00000000000000000000000000","1958",,,"0",," MKDD",,"00000000000000000000000000"
