"","ref","ptt","deployment.start","deployment.end","deployment.dur","left.colony","combFit","augFit","augFit_pf0.3","year_ptt","year","brand","tag1","tag2","SEAL_ID","SEAL_TAG_TYPE"
"24","mq2-28483-96","28483",1996-12-03 06:02:36,1996-12-16 10:08:30,13.2,0,-,-,-,"1996_28483",-,-,-,-,-,-
"25","mq3-17217a-99","17217",1999-11-01 16:10:01,1999-11-01 18:20:01,0.1,0,-,-,-,"1999_17217",1999,"T088",-,-,26415,"B"
"26","mq3-22500-99","22500",1999-12-14 22:50:50,1999-12-15 16:07:09,0.7,0,-,-,-,"1999_22500",-,-,-,-,-,-
"27","mq3-2442-99","2442",1999-10-18 15:51:18,1999-11-02 18:07:02,15.1,0,-,-,-,"1999_2442",-,-,-,-,-,-
"28","mq3-26635a-99","26635",1999-12-04 21:40:49,1999-12-17 07:17:09,12.4,0,-,-,-,"1999_26635",-,-,-,-,-,-
"29","mq3-26635b-99","26635",1999-12-26 07:12:43,2000-01-12 09:10:22,17.1,0,-,-,-,"1999_26635",-,-,-,-,-,-
"30","mq3-26635c-99","26635",2000-01-24 04:58:03,2000-02-01 21:31:10,8.7,0,-,-,-,"2000_26635",-,-,-,-,-,-
"31","mq3-2841a-99","2841",1999-11-03 16:15:03,1999-11-03 17:35:03,0.1,0,-,-,-,"1999_2841",-,-,-,-,-,-
"32","mq3-2841b-99","2841",1999-12-21 06:29:37,2000-01-04 15:24:02,14.4,0,-,-,-,"1999_2841",-,-,-,-,-,-
"33","mq3-2841c-99","2841",2000-01-24 00:24:41,2000-02-02 17:47:16,9.7,0,-,-,-,"2000_2841",-,-,-,-,-,-
"34","mq3-2845a-99","2845",1999-12-14 22:52:04,1999-12-19 18:28:48,4.8,0,-,-,-,"1999_2845",-,-,-,-,-,-
"35","mq3-2845b-99","2845",1999-12-21 06:28:20,2000-01-04 03:47:20,13.9,0,-,-,-,"1999_2845",-,-,-,-,-,-
"36","mq3-2845c-99","2845",2000-01-24 00:25:12,2000-02-01 21:28:35,8.9,0,-,-,-,"2000_2845",-,-,-,-,-,-
"37","mq3-28496a-99","28496",1999-11-03 16:14:11,1999-11-03 17:35:31,0.1,0,-,-,-,"1999_28496",1999,"T823",-,-,26139,"B"
"38","mq3-2849a-99","2849",1999-11-01 16:10:17,1999-11-01 18:20:57,0.1,0,-,-,-,"1999_2849",1999,"T825",-,-,26468,"B"
"39","mq3-28502-99","28502",1999-12-18 03:39:19,1999-12-19 21:48:58,1.8,0,-,-,-,"1999_28502",-,-,-,-,-,-
"40","mq3-28504a-99","28504",1999-11-02 19:13:26,1999-11-03 09:33:26,0.6,0,-,-,-,"1999_28504",1999,"T719",-,-,25673,"B"
"41","mq3-28505-99","28505",1999-12-21 06:28:38,2000-01-04 16:55:07,14.4,0,-,-,-,"1999_28505",-,-,-,-,-,-
"42","mq3-28505a-99","28505",1999-11-02 19:12:55,1999-11-03 09:34:15,0.6,0,-,-,-,"1999_28505",-,-,-,-,-,-
"43","mq3-5812a-99","5812",1999-12-13 07:09:40,1999-12-19 21:49:53,6.6,0,-,-,-,"1999_5812",1999,"T887",-,-,26605,"B"
"44","mq1-17215-95","17215",1995-12-04 05:05:59,1995-12-30 08:18:27,26.1,1,-,-,-,"1995_17215",1995,"J622","9500","9501",7932,"B"
"45","mq1-17217-95","17217",1995-12-01 07:06:22,1996-04-11 03:35:35,131.9,1,-,-,-,"1995_17217",-,-,-,-,-,-
"46","mq1-17219-95","17219",1995-12-03 05:18:55,1996-01-08 12:04:12,36.3,1,-,-,-,"1995_17219",-,-,-,-,-,-
"47","mq1-20916-95","20916",1995-12-01 07:07:30,1995-12-29 02:11:18,27.8,1,-,-,-,"1995_20916",1995,"J723","8728","8729",7582,"B"
"48","mq1-20918-95","20918",1995-11-29 04:18:55,1996-04-28 15:26:24,151.5,1,-,-,-,"1995_20918",1995,"J503","8203",-,7308,"B"
"49","mq1-22483-95","22483",1995-11-29 02:36:48,1996-04-04 09:59:22,127.3,1,-,-,-,"1995_22483",1995,"J806","9538","9539",7947,"B"
"50","mq1-22484-95","22484",1995-11-29 02:42:03,1995-12-21 03:37:47,22,1,-,-,-,"1995_22484",1995,"J557","8874","8875",7627,"B"
"51","mq1-22486-95","22486",1995-11-28 02:49:10,1996-03-26 14:40:47,119.5,1,-,-,-,"1995_22486",1995,"J781","8870","8871",7625,"B"
